variable,ncvar,dataset,monthly,file_name,download_path,download_function,file_name_orig,download_path_orig,version,long_name,abbreviated_name,time_frame,units,units_exp,dataset_list_v
bio01,bio01,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio01_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,annual mean temperature,ann. mean T,year,degrees Celsius,*degree*C*,
bio02,bio02,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio02_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,mean diurnal range,diurn. range,year,degrees Celsius,*degree*C*,
bio03,bio03,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio03_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,isothermality,isothermality,year,,,
bio04,bio04,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio04_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,temperature seasonality,T season.,year,degrees Celsius,*degree*C*,
bio05,bio05,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio05_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,maximum temperature of warmest month,max. T of warmest mo.,year,degrees Celsius,*degree*C*,
bio06,bio06,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio06_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,minimum temperature of coldest month,min. T of coldest mo.,year,degrees Celsius,*degree*C*,
bio07,bio07,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio07_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,temperature annual range (bio05-bio06),T ann. Range,year,degrees Celsius,*degree*C*,
bio08,bio08,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio08_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,mean temperature of wettest quarter,mean T of wettest qtr,year,degrees Celsius,*degree*C*,
bio09,bio09,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio09_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,mean temperature of driest quarter,mean T of driest qtr,year,degrees Celsius,*degree*C*,
bio10,bio10,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio10_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,mean temperature of warmest quarter,mean T of warmest qtr,year,degrees Celsius,*degree*C*,
bio11,bio11,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio11_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,mean temperature of coldest quarter,mean T of coldest qtr,year,degrees Celsius,*degree*C*,
bio12,bio12,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio12_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,annual precipitation,ann. P,year,mm per year,*mm~yr^-1*,
bio13,bio13,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio13_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,precipitation of wettest month,P of wettest mo.,year,mm per month,*mm~mo^-1*,
bio14,bio14,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio14_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,precipitation of driest month,P of driest mo.,year,mm per month,*mm~mo^-1*,
bio15,bio15,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio15_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,precipitation seasonality (coeff var),P season.,year,,,
bio16,bio16,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio16_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,precipitation of wettest quarter,P of wettest qtr,year,mm per quarter,*mm~qtr^-1*,
bio17,bio17,CHELSA_2.1_XXX_YYY_0.5m,FALSE,CHELSA_2.1_XXX_YYY_0.5m_bio17_v1.0.0.vrt,,download_chelsa_present,,,1.0.0,precipitation of driest quarter,P of driest qtr,year,mm per quarter,*mm~qtr^-1*,
