variable,ncvar,dataset,monthly,file_name,download_path,download_function,file_name_orig,download_path_orig,version,long_name,abbreviated_name,time_frame,units,units_exp,dataset_list_v
bio01,BIO1,Example,FALSE,example_climate_v1.3.0.nc,,,,,1.3.0,annual mean temperature,ann. mean T,year,degrees Celsius,*degree*C*,1.3.9
bio10,BIO10,Example,FALSE,example_climate_v1.3.0.nc,,,,,1.3.0,mean temperature of warmest quarter,mean T of warmest qtr,year,degrees Celsius,*degree*C*,
bio12,BIO12,Example,FALSE,example_climate_v1.3.0.nc,,,,,1.3.0,annual precipitation,ann. P,year,mm per year,*mm~yr^-1*,
biome,biome,Example,FALSE,example_climate_v1.3.0.nc,,,,,1.3.0,biome (from BIOME4),biome,year,,,
bio01,bio01,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,annual mean temperature,ann. mean T,year,degrees Celsius,*degree*C*,
bio04,bio04,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,temperature seasonality,T season.,year,degrees Celsius,*degree*C*,
bio05,bio05,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,maximum temperature of warmest month,max. T of warmest mo.,year,degrees Celsius,*degree*C*,
bio06,bio06,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,minimum temperature of coldest month,min. T of coldest mo.,year,degrees Celsius,*degree*C*,
bio07,bio07,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,temperature annual range (bio05-bio06),T ann. Range,year,degrees Celsius,*degree*C*,
bio08,bio08,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,mean temperature of wettest quarter,mean T of wettest qtr,year,degrees Celsius,*degree*C*,
bio09,bio09,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,mean temperature of driest quarter,mean T of driest qtr,year,degrees Celsius,*degree*C*,
bio10,bio10,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,mean temperature of warmest quarter,mean T of warmest qtr,year,degrees Celsius,*degree*C*,
bio11,bio11,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,mean temperature of coldest quarter,mean T of coldest qtr,year,degrees Celsius,*degree*C*,
bio12,bio12,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,annual precipitation,ann. P,year,mm per year,*mm~yr^-1*,
bio13,bio13,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,precipitation of wettest month,P of wettest mo.,year,mm per month,*mm~mo^-1*,
bio14,bio14,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,precipitation of driest month,P of driest mo.,year,mm per month,*mm~mo^-1*,
bio15,bio15,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,precipitation seasonality (coeff var),P season.,year,,,
bio16,bio16,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,precipitation of wettest quarter,P of wettest qtr,year,mm per quarter,*mm~qtr^-1*,
bio17,bio17,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,precipitation of driest quarter,P of driest qtr,year,mm per quarter,*mm~qtr^-1*,
bio18,bio18,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,precipitation of warmest quarter,P of warmest qtr,year,mm per quarter,*mm~qtr^-1*,
bio19,bio19,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,precipitation of coldest quarter,P of coldest qtr,year,mm per quarter,*mm~qtr^-1*,
npp,npp,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,net primary productivity,NPP,year,gC per m^2 per year,*gC~m^-2~yr^-1*,
lai,lai,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,leaf area index,LAI,year,gC per m^2,*gC~m^-2*,
biome,biome,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.2.2,biome (from BIOME4),biome,year,,,
altitude,altitude,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,,,1.2.2,altitude over the sea level,altitude,year,meters,*m*,
rugosity,rugosity,Beyer2020,FALSE,Beyer2020_annual_vars_v1.2.2.nc,https://zenodo.org/record/7388091/files/Beyer2020_annual_vars_v1.2.2.nc?download=1,,,,1.2.2,rugosity (st. dev. altitude at 1 min),rugosity,year,,,
