Age (Ma),Sea level (m),lower unc (m),upper unc (m)
age,sea_level,l_unc,u_unc
0.000,2,-23,14
0.001,6,-23,20
0.002,1,-31,15
0.003,4,-20,16
0.004,1,-26,14
0.005,-8,-42,12
0.006,-6,-36,12
0.007,-20,-47,4
0.008,-31,-68,4
0.009,-39,-70,-5
0.010,-44,-77,-9
0.011,-69,-103,-33
0.012,-58,-97,-15
0.013,-75,-119,-27
0.014,-74,-104,-42
0.015,-95,-140,-47
0.016,-111,-144,-76
0.017,-112,-157,-64
0.018,-123,-160,-82
0.019,-139,-164,-113
0.020,-135,-160,-108
0.021,-137,-160,-113
0.022,-132,-156,-107
0.023,-131,-154,-108
0.024,-120,-146,-93
0.025,-121,-144,-98
0.026,-116,-138,-93
0.027,-108,-135,-80
0.028,-120,-141,-98
0.029,-103,-139,-66
0.030,-110,-130,-89
0.031,-103,-128,-78
0.032,-105,-129,-81
0.033,-111,-135,-87
0.034,-102,-125,-79
0.035,-103,-124,-81
0.036,-93,-116,-71
0.037,-88,-113,-64
0.038,-69,-109,-26
0.039,-80,-103,-56
0.040,-80,-102,-58
0.041,-72,-104,-38
0.042,-78,-100,-56
0.043,-83,-109,-55
0.044,-86,-108,-63
0.045,-89,-114,-63
0.046,-70,-104,-34
0.047,-69,-100,-36
0.048,-80,-105,-54
0.049,-95,-116,-73
0.050,-77,-99,-54
0.051,-93,-113,-73
0.052,-83,-104,-61
0.053,-77,-99,-54
0.054,-82,-110,-51
0.055,-52,-76,-27
0.056,-74,-99,-48
0.057,-69,-96,-41
0.058,-55,-85,-24
0.059,-58,-88,-27
0.060,-66,-91,-39
0.061,-72,-96,-48
0.062,-52,-87,-15
0.063,-52,-81,-21
0.064,-61,-98,-20
0.065,-87,-113,-58
0.066,-70,-102,-35
0.067,-94,-122,-63
0.068,-85,-114,-53
0.069,-84,-128,-35
0.070,-86,-126,-42
0.071,-104,-133,-72
0.072,-101,-124,-77
0.073,-112,-135,-86
0.074,-93,-117,-67
0.075,-84,-112,-53
0.076,-90,-112,-64
0.077,-88,-111,-63
0.078,-90,-117,-59
0.079,-90,-118,-58
0.080,-86,-112,-56
0.081,-67,-91,-40
0.082,-77,-110,-41
0.083,-84,-121,-40
0.084,-77,-121,-27
0.085,-85,-137,-24
0.086,-94,-138,-42
0.087,-86,-126,-39
0.088,-92,-129,-48
0.089,-106,-136,-70
0.090,-102,-126,-72
0.091,-91,-113,-64
