"","x"
"1","CHELSA_2.1_0.5m_bio01_v1.0.0.vrt"
"2","CHELSA_2.1_0.5m_bio02_v1.0.0.vrt"
"3","CHELSA_2.1_0.5m_bio03_v1.0.0.vrt"
"4","CHELSA_2.1_0.5m_bio04_v1.0.0.vrt"
"5","CHELSA_2.1_0.5m_bio05_v1.0.0.vrt"
"6","CHELSA_2.1_0.5m_bio06_v1.0.0.vrt"
"7","CHELSA_2.1_0.5m_bio07_v1.0.0.vrt"
"8","CHELSA_2.1_0.5m_bio08_v1.0.0.vrt"
"9","CHELSA_2.1_0.5m_bio09_v1.0.0.vrt"
"10","CHELSA_2.1_0.5m_bio10_v1.0.0.vrt"
"11","CHELSA_2.1_0.5m_bio11_v1.0.0.vrt"
"12","CHELSA_2.1_0.5m_bio12_v1.0.0.vrt"
"13","CHELSA_2.1_0.5m_bio13_v1.0.0.vrt"
"14","CHELSA_2.1_0.5m_bio14_v1.0.0.vrt"
"15","CHELSA_2.1_0.5m_bio15_v1.0.0.vrt"
"16","CHELSA_2.1_0.5m_bio16_v1.0.0.vrt"
"17","CHELSA_2.1_0.5m_bio17_v1.0.0.vrt"
"18","CHELSA_2.1_0.5m_bio18_v1.0.0.vrt"
"19","CHELSA_2.1_0.5m_bio19_v1.0.0.vrt"
"20","CHELSA_2.1_0.5m_temp_01_v1.0.0.vrt"
"21","CHELSA_2.1_0.5m_temp_02_v1.0.0.vrt"
"22","CHELSA_2.1_0.5m_temp_03_v1.0.0.vrt"
"23","CHELSA_2.1_0.5m_temp_04_v1.0.0.vrt"
"24","CHELSA_2.1_0.5m_temp_05_v1.0.0.vrt"
"25","CHELSA_2.1_0.5m_temp_06_v1.0.0.vrt"
"26","CHELSA_2.1_0.5m_temp_07_v1.0.0.vrt"
"27","CHELSA_2.1_0.5m_temp_08_v1.0.0.vrt"
"28","CHELSA_2.1_0.5m_temp_09_v1.0.0.vrt"
"29","CHELSA_2.1_0.5m_temp_10_v1.0.0.vrt"
"30","CHELSA_2.1_0.5m_temp_11_v1.0.0.vrt"
"31","CHELSA_2.1_0.5m_temp_12_v1.0.0.vrt"
"32","CHELSA_2.1_0.5m_prec_01_v1.0.0.vrt"
"33","CHELSA_2.1_0.5m_prec_02_v1.0.0.vrt"
"34","CHELSA_2.1_0.5m_prec_03_v1.0.0.vrt"
"35","CHELSA_2.1_0.5m_prec_04_v1.0.0.vrt"
"36","CHELSA_2.1_0.5m_prec_05_v1.0.0.vrt"
"37","CHELSA_2.1_0.5m_prec_06_v1.0.0.vrt"
"38","CHELSA_2.1_0.5m_prec_07_v1.0.0.vrt"
"39","CHELSA_2.1_0.5m_prec_08_v1.0.0.vrt"
"40","CHELSA_2.1_0.5m_prec_09_v1.0.0.vrt"
"41","CHELSA_2.1_0.5m_prec_10_v1.0.0.vrt"
"42","CHELSA_2.1_0.5m_prec_11_v1.0.0.vrt"
"43","CHELSA_2.1_0.5m_prec_12_v1.0.0.vrt"
