variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig
bio01,BIO1,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio04,BIO4,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio05,BIO5,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio06,BIO6,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio07,BIO7,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio08,BIO8,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio09,BIO9,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio10,BIO10,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio11,BIO11,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio12,BIO12,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio13,BIO13,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio14,BIO14,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio15,BIO15,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio16,BIO16,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio17,BIO17,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio18,BIO18,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio19,BIO19,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
npp,npp,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
lai,lai,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
temperature_monthly,temperature,Beyer2020,TRUE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
precipitation_monthly,precipitation,Beyer2020,TRUE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_monthly,cloudiness,Beyer2020,TRUE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
relative_humidity_monthly,relative_humidity,Beyer2020,TRUE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
wind_speed_monthly,wind_speed,Beyer2020,TRUE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
temperature_min,min_temperature,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
temperature_max,max_temperature,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
biome,biome,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
