variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig
bio01,BIO1,Example,FALSE,example_climate.nc,,,
bio10,BIO10,Example,FALSE,example_climate.nc,,,
bio12,BIO12,Example,FALSE,example_climate.nc,,,
biome,biome,Example,FALSE,example_climate.nc,,,
bio01,bio01,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio04,bio04,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio05,bio05,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio06,bio06,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio07,bio07,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio08,bio08,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio09,bio09,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio10,bio10,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio11,bio11,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio12,bio12,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio13,bio13,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio14,bio14,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio15,bio15,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
bio16,bio16,Beyer2020,FALSE,Beyer2020_annual_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
